Profile Name,Show,Has Watched,Is Interested,Event Date
Saksham,Sooryavanshi,,,2022-01-18
Saksham,Stranger Things,,,2022-01-18
Saksham,The Wolf of Wall Street,,,2022-01-18
SAMARTH,Peaky Blinders,,,2021-11-11
SAMARTH,Naruto Shippuden,,,2021-11-11
SAMARTH,The Flash,,,2021-11-11
SAMARTH,Demon Slayer: Kimetsu no Yaiba,,,2021-11-11
SAMARTH,Suits,,,2021-11-11
SAMARTH,Dave Chappelle: The Closer,,,2021-11-11
SAMARTH,Family Guy,,,2021-11-11
SAMARTH,The Walking Dead,,,2021-11-11
SAMARTH,The Witcher,,,2021-11-11
SAMARTH,Lucifer,,,2021-11-11
SAMARTH,Stranger Things,,,2021-11-11
SAMARTH,Brooklyn Nine-Nine,,,2021-11-11
SAMARTH,Breaking Bad,,,2021-11-11
SAMARTH,Squid Game,,,2021-11-11
