Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
SAMARTH,Season 2 Trailer: Space Force,Netflix Opera Other,2022-02-19 01:52:35,CA,"[{""eventType"":""start"",""sessionOffsetMs"":21,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":638,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":3420,""mediaOffsetMs"":2609}]"
SAMARTH,Manifest: Season 1_hook_03_16x9,Netflix Opera Other,2022-02-16 03:14:00,CA,"[{""eventType"":""start"",""sessionOffsetMs"":11,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":2378,""mediaOffsetMs"":1}]"
SAMARTH,Trailer: Inventing Anna,Netflix Opera Other,2022-02-16 03:13:52,CA,"[{""eventType"":""start"",""sessionOffsetMs"":11,""mediaOffsetMs"":20},{""eventType"":""stopped"",""sessionOffsetMs"":1304,""mediaOffsetMs"":20}]"
SAMARTH,Blade of Demon Destruction: Season 1_hook_primary_16x9,Netflix Opera Other,2022-02-16 03:13:31,CA,"[{""eventType"":""start"",""sessionOffsetMs"":13,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":1292,""mediaOffsetMs"":1}]"
SAMARTH,Disenchantment: Part 1 Podular: FLOURISH / Adventure - Fantasy - Comedy,Netflix Opera Other,2022-02-16 03:13:28,CA,"[{""eventType"":""start"",""sessionOffsetMs"":49,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":813,""mediaOffsetMs"":0}]"
SAMARTH,Season 2 Trailer: Love Is Blind,Netflix Opera Other,2022-02-16 03:13:14,CA,"[{""eventType"":""start"",""sessionOffsetMs"":27,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":2393,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":8443,""mediaOffsetMs"":5969},{""eventType"":""playing"",""sessionOffsetMs"":9736,""mediaOffsetMs"":6028},{""eventType"":""paused"",""sessionOffsetMs"":14229,""mediaOffsetMs"":10311},{""eventType"":""stopped"",""sessionOffsetMs"":32404,""mediaOffsetMs"":10311}]"
SAMARTH,Once Upon a Time in Hollywood_hook_02_16x9,Netflix Opera Other,2022-02-16 03:12:20,CA,"[{""eventType"":""start"",""sessionOffsetMs"":22,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1488,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":6183,""mediaOffsetMs"":4462},{""eventType"":""playing"",""sessionOffsetMs"":16821,""mediaOffsetMs"":4650},{""eventType"":""stopped"",""sessionOffsetMs"":17144,""mediaOffsetMs"":4869}]"
SAMARTH,Suits: Season 1_hook_primary_16x9,Netflix Opera Other,2022-02-15 09:47:02,CA,"[{""eventType"":""start"",""sessionOffsetMs"":23,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1951,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":9999,""mediaOffsetMs"":7841}]"
SAMARTH,Trailer: Ali Wong: Don Wong,Netflix Opera Other,2022-02-15 09:46:51,CA,"[{""eventType"":""start"",""sessionOffsetMs"":52,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":3673,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":6245,""mediaOffsetMs"":2252}]"
SAMARTH,Main Character Intro Clip: Tall Girl 2,Netflix Opera Other,2022-02-15 05:34:50,CA,"[{""eventType"":""start"",""sessionOffsetMs"":79,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":467,""mediaOffsetMs"":1}]"
SAMARTH,Focus_hook_primary_16x9,Netflix Opera Other,2022-02-15 05:34:32,CA,"[{""eventType"":""start"",""sessionOffsetMs"":59,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":3386,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":11718,""mediaOffsetMs"":8226},{""eventType"":""playing"",""sessionOffsetMs"":14761,""mediaOffsetMs"":8298},{""eventType"":""stopped"",""sessionOffsetMs"":14959,""mediaOffsetMs"":8377}]"
SAMARTH,Teaser 2: Inventing Anna,Netflix Opera Other,2022-02-11 22:33:12,CA,"[{""eventType"":""start"",""sessionOffsetMs"":41017,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":43230,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":43400,""mediaOffsetMs"":1}]"
SAMARTH,Season 2 Genre Specific Moment Clip: Raising Dion,Netflix Opera Other,2022-02-11 22:32:37,CA,"[{""eventType"":""start"",""sessionOffsetMs"":4,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":2653,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":22665,""mediaOffsetMs"":19680}]"
SAMARTH,"EDENS ZERO: Season 1: ""Someone to Love""",Netflix Opera Other,2022-02-11 22:32:28,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1889,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":2724,""mediaOffsetMs"":532}]"
SAMARTH,EDENS ZERO: Season 1_hook_primary_16x9,Netflix Opera Other,2022-02-11 22:32:25,CA,"[{""eventType"":""start"",""sessionOffsetMs"":6,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1465,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":2560,""mediaOffsetMs"":952}]"
SAMARTH,Season 1 Direct Lift Hook 3: Shadow and Bone,Netflix Opera Other,2022-02-11 22:32:23,CA,"[{""eventType"":""start"",""sessionOffsetMs"":16,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":385,""mediaOffsetMs"":1}]"
SAMARTH,The Seven Deadly Sins: Dragon's Judgement (Trailer 2),Netflix Opera Other,2022-02-11 22:32:21,CA,"[{""eventType"":""start"",""sessionOffsetMs"":16,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":472,""mediaOffsetMs"":1}]"
